doc_id;datetime;text;media;alt_text;likes;reposts;replies;username;handle;user_description;user_image;user_followers;commented_post;sponsored;target;condition;sequence
0;27.10.24 06:00;Rare picture of Linus without lttstore merch in Taipei;https://raw.githubusercontent.com/analyticspeg/image_exp_social/refs/heads/main/linustech_SF_1.jpg;;238097;1190;714;linustech;Linus;The official Instagram of Linus.;https://raw.githubusercontent.com/analyticspeg/image_exp_social/main/Profile_pic_linus.png;2756866;0;0;;sj100;
1;18.09.24 06:00;This is Linus on a regular treadmill;https://raw.githubusercontent.com/analyticspeg/image_exp_social/refs/heads/main/linustech_SF_2.jpg;;224620;1123;674;linustech;Linus;The official Instagram of Linus.;https://raw.githubusercontent.com/analyticspeg/image_exp_social/main/Profile_pic_linus.png;2756866;0;0;;sj100;
2;24.09.24 06:00;You thought it was just a beard update but it is I, a brace announcement! Week 3 progress update.;https://raw.githubusercontent.com/analyticspeg/image_exp_social/refs/heads/main/linustech_SF_3.jpg;;241171;1206;724;linustech;Linus;The official Instagram of Linus.;https://raw.githubusercontent.com/analyticspeg/image_exp_social/main/Profile_pic_linus.png;2756866;0;0;;sj100;
3;29.09.24 06:00;Linus' beard has officially grown back This concludes the not so weekly beard update;https://raw.githubusercontent.com/analyticspeg/image_exp_social/refs/heads/main/linustech_SF_4.jpg;;231713;1159;695;linustech;Linus;The official Instagram of Linus.;https://raw.githubusercontent.com/analyticspeg/image_exp_social/main/Profile_pic_linus.png;2756866;0;0;;sj100;
4;05.10.24 06:00;One Linus created the Linux Kernel and Git, the other created funny meme pictures.;https://raw.githubusercontent.com/analyticspeg/image_exp_social/refs/heads/main/linustech_SF_5.jpg;;245900;1230;738;linustech;Linus;The official Instagram of Linus.;https://raw.githubusercontent.com/analyticspeg/image_exp_social/main/Profile_pic_linus.png;2756866;0;0;;sj100;
5;11.10.24 06:00;congratulations to @dms3tv for getting married on the WAN Show and thanks to @thorum for providing the rings!;https://raw.githubusercontent.com/analyticspeg/image_exp_social/refs/heads/main/linustech_SF_6.jpg;;243535;1218;731;linustech;Linus;The official Instagram of Linus.;https://raw.githubusercontent.com/analyticspeg/image_exp_social/main/Profile_pic_linus.png;2756866;0;0;;sj100;
6;16.10.24 06:00;Another year, another @fallontonight appearance. 🎬<br><br>Huge thank you to @jimmyfallon and the entire team for letting us showcase some of the coolest tech from CES 2026.<br><br>Photos by Todd Owyoung and NBC 📸 @toddowyoung;https://raw.githubusercontent.com/analyticspeg/image_exp_social/refs/heads/main/linustech_SF_7.jpg;;226984;1135;681;linustech;Linus;The official Instagram of Linus.;https://raw.githubusercontent.com/analyticspeg/image_exp_social/main/Profile_pic_linus.png;2756866;0;0;;sj100;
7;22.10.24 06:00;We’ve arrived at @fallontonight! @jimmyfallon #fallontonight;https://raw.githubusercontent.com/analyticspeg/image_exp_social/refs/heads/main/linustech_SF_8.jpg;;229349;1147;688;linustech;Linus;The official Instagram of Linus.;https://raw.githubusercontent.com/analyticspeg/image_exp_social/main/Profile_pic_linus.png;2756866;0;0;;sj100;
8;12.09.24 06:00;guess who just got his wisdom teeth taken out;https://raw.githubusercontent.com/analyticspeg/image_exp_social/refs/heads/main/linustech_SF_9.jpg;;248264;1241;745;linustech;Linus;The official Instagram of Linus.;https://raw.githubusercontent.com/analyticspeg/image_exp_social/main/Profile_pic_linus.png;2756866;0;0;;sj100;
9;01.11.24 06:00;Linus is locked in for CES;https://raw.githubusercontent.com/analyticspeg/image_exp_social/refs/heads/main/linustech_SF_10.jpg;;236442;1182;709;linustech;Linus;The official Instagram of Linus.;https://raw.githubusercontent.com/analyticspeg/image_exp_social/main/Profile_pic_linus.png;2756866;0;0;;sj100;
