doc_id;datetime;text;media;alt_text;likes;reposts;replies;username;handle;user_description;user_image;user_followers;commented_post;sponsored;target;condition;sequence
0;27.10.24 06:00;Can upgrading your PC make it worse? 👀<br><br>More cores, higher clocks, and a bigger price tag don't always mean better performance.<br><br>The 9950X loses to the 9800X3D in gaming thanks to 3D V-Cache.<br><br>A 6400 MT/s RAM stick sounds faster... until you check the CL36 latency vs CL30.<br><br>And double the capacity? Useless if it slows down your speeds.<br><br>Always read beyond the spec sheet.;https://raw.githubusercontent.com/analyticspeg/image_exp_social/refs/heads/main/linustech_CF_1.jpg;;238097;1190;714;linustech;Linus;The official Instagram of Linus.;https://raw.githubusercontent.com/analyticspeg/image_exp_social/main/Profile_pic_linus.png;2756866;0;0;;cc100;
1;18.09.24 06:00;The most breakable part in your PC? The motherboard. 😬<br><br>There are two moments where things go wrong fast.<br><br>First: installing the CPU. One wrong move and those tiny pins bend, and your PC is done.<br><br>Second: mounting the board in the case. A misplaced standoff or sliding it in at the wrong angle can snap the traces on the back, instantly turning it into a very expensive brick.<br><br>Handle with care. Seriously. 🛠️;https://raw.githubusercontent.com/analyticspeg/image_exp_social/refs/heads/main/linustech_CF_2.jpg;;224620;1123;674;linustech;Linus;The official Instagram of Linus.;https://raw.githubusercontent.com/analyticspeg/image_exp_social/main/Profile_pic_linus.png;2756866;0;0;;cc100;
2;24.09.24 06:00;The PS5 just got its biggest price hike ever. So we built a PC that beats it. 💀<br><br>Intel i5-12400F, a budget chipset mobo that's actually decent now, 16GB DDR4, a 1TB SSD, a Thermaltake case, a 500W PSU, and an RTX 3070 to top it all off.<br><br>The result? A build that goes head-to-head with the PS5 at its new price... and wins where it counts.<br><br>Sony really did us a favor.;https://raw.githubusercontent.com/analyticspeg/image_exp_social/refs/heads/main/linustech_CF_3.png;;241171;1206;724;linustech;Linus;The official Instagram of Linus.;https://raw.githubusercontent.com/analyticspeg/image_exp_social/main/Profile_pic_linus.png;2756866;0;0;;cc100;
3;29.09.24 06:00;The world's first programmable universal remote, designed by Steve Wozniak himself. 🤯<br><br>Back in 1987, you could program it to turn on your cable box, change the channel, start the VCR, record a show, and shut everything off, all with one sequence.<br><br>Today? It can pause Netflix, dim the lights, and open YouTube. One button = bathroom break mode.<br><br>Built for the highly educated, low-level programmer geek.<br><br>And honestly, no one else. 😂;https://raw.githubusercontent.com/analyticspeg/image_exp_social/refs/heads/main/linustech_CF_4.png;;231713;1159;695;linustech;Linus;The official Instagram of Linus.;https://raw.githubusercontent.com/analyticspeg/image_exp_social/main/Profile_pic_linus.png;2756866;0;0;;cc100;
4;05.10.24 06:00;RISC-V might be the most important chip architecture you've never heard of. 👀<br><br>Like ARM, it's a reduced instruction set architecture: efficient, low power, and great for wearables and small devices.<br><br>But unlike ARM, it's completely open source.<br><br>That's a massive deal for companies and countries locked out of x86 or ARM due to trade restrictions.<br><br>No license fees. No gatekeepers.<br><br>The future of chips might be open to everyone.;https://raw.githubusercontent.com/analyticspeg/image_exp_social/refs/heads/main/linustech_CF_5.png;;245900;1230;738;linustech;Linus;The official Instagram of Linus.;https://raw.githubusercontent.com/analyticspeg/image_exp_social/main/Profile_pic_linus.png;2756866;0;0;;cc100;
5;11.10.24 06:00;This might be the coolest gaming setup ever built. 🎮<br><br>A 16-core Ryzen CPU on a Mini-ITX motherboard, crammed inside a NES chassis.<br><br>Swap your entire OS by swapping a cartridge, each one hiding an NVMe SSD inside.<br><br>An external GPU linked via GPIO, living inside a retro CRT-style modded monitor.<br><br>Bunny antennas. A whale mascot.<br><br>This isn't a PC.<br><br>It's a work of art.;https://raw.githubusercontent.com/analyticspeg/image_exp_social/refs/heads/main/linustech_CF_6.png;;243535;1218;731;linustech;Linus;The official Instagram of Linus.;https://raw.githubusercontent.com/analyticspeg/image_exp_social/main/Profile_pic_linus.png;2756866;0;0;;cc100;
6;16.10.24 06:00;Liquid metal leaked inside my ASUS ROG Flow X13. Here's what happened. 😰<br><br>Liquid metal can absorb into solder when it melts, making it brittle and causing components to literally fall off the board.<br><br>We scraped, wiped with solvent, used a hot air station at the lowest possible temp, and swapped in PTM 7950.<br><br>The result? Couldn't fully save it BUT somehow ended up with slightly better thermals and a higher CPU clock.<br><br>Would I recommend liquid metal?<br><br>After this? Hard no.;https://raw.githubusercontent.com/analyticspeg/image_exp_social/refs/heads/main/linustech_CF_7.png;;226984;1135;681;linustech;Linus;The official Instagram of Linus.;https://raw.githubusercontent.com/analyticspeg/image_exp_social/main/Profile_pic_linus.png;2756866;0;0;;cc100;
7;22.10.24 06:00;That 16TB external SSD for $15 on Amazon? It's fake. 🚨<br><br>The drive shows 2TB of space... it's actually 64GB.<br><br>It's USB 2.0 disguised as 3.1.<br><br>The internals are hot glued.<br><br>And when it fills up? It just deletes your old files to make room.<br><br>As for the sellers: they use gibberish brand names so when they get banned, they change one letter, file a new trademark, and they're back.<br><br>Amazon has decided it's cheaper to compensate victims than to prevent the scam.<br><br>Let that sink in.;https://raw.githubusercontent.com/analyticspeg/image_exp_social/refs/heads/main/linustech_CF_8.png;;229349;1147;688;linustech;Linus;The official Instagram of Linus.;https://raw.githubusercontent.com/analyticspeg/image_exp_social/main/Profile_pic_linus.png;2756866;0;0;;cc100;
8;12.09.24 06:00;We built a jank version of the Valve Steam Machine to guess its price. 🤔<br><br>Ryzen 5 8400F, SODIMM RAM, a 500GB SSD, AMD stock cooler capped at 30W, RX 6600, and a Seasonic 550W PSU (because good 300W units basically don't exist).<br><br>Add a case and a GameSir controller.<br><br>And our best estimate for the real thing? $699 USD.<br><br>Unless the RAM market gets even worse.<br><br>Valve, please don't prove us wrong. 🙏;https://raw.githubusercontent.com/analyticspeg/image_exp_social/refs/heads/main/linustech_CF_9.png;;248264;1241;745;linustech;Linus;The official Instagram of Linus.;https://raw.githubusercontent.com/analyticspeg/image_exp_social/main/Profile_pic_linus.png;2756866;0;0;;cc100;
9;01.11.24 06:00;A random guy on the CES show floor built a better Apple mouse than Apple ever has. 😐<br><br>USB-C charging (not on the bottom).<br><br>A single button that works as left AND right click with haptic feedback.<br><br>And a proper power button.<br><br>It's the old-school Magic Mouse shell, completely reimagined and actually usable.<br><br>Apple, take notes.<br><br>Or don't. We know how this goes.;https://raw.githubusercontent.com/analyticspeg/image_exp_social/refs/heads/main/linustech_CF_10.png;;236442;1182;709;linustech;Linus;The official Instagram of Linus.;https://raw.githubusercontent.com/analyticspeg/image_exp_social/main/Profile_pic_linus.png;2756866;0;0;;cc100;
